사업명,지원대상,지원내용,신청방법,사업종료일,출처,상세링크,AI_학습용_데이터
장학사업," 계속추천ㆍ전년도에 본 재단의 장학금을 수혜하고 학업성적 등에 결격사유가 없는 학생ㆍ학업성적(4.5기준): 성적우수:3.75, 다솜:3.00 SOS:3.50, (시설출신,다문화/조손가정):3.00, 재능나눔:3.00ㆍ성적미달이 처음인 경우, 성적미달 사유서 첨부함 - 신규추천ㆍ성적우수장학생만 해당ㆍ직전학기의 학업성적이 3.75/4.5 이상인 가정형편이 어려운 학생ㆍ본 재단의 장학금과 동일한 지급시기에 타기관의 장학금 수혜 대상자로 선정되지 않은 학생이어야 함ㆍ단, 국가장학금과 교내성적장학금 일부 수혜시 등록금을 초과하지 않는 범위에서 지원함 ㆍ부모 직장에서 대학자녀 학자금이 나오는 학생은 선발에서 제외함ㆍ성적우수 장학생 중 결격사유가 발생한 경우에는 동일 계열, 동일 학년에서 보궐 추천해야 함ㆍ재단에서 나래장학생(시설출신, 다문화/조손가정학생)으로 선발하여 별도 통보한 학생은 우선 추천함(별도 온라인 신청 및 구비서류 필요 없음)", 등록금 전액 - 금액미정, 기타 접수: 대학 추천(매년말),2099-12-31,민간복지(CSV),내용 없음,장학사업 계속추천전년도에 본 재단의 장학금을 수혜하고 학업성적 등에 결격사유가 없는 학생학업성적45기준 성적우수375 다솜300 350 시설출신다문화조손가정300 재능나눔300성적미달이 처음인 경우 성적미달 사유서 첨부함 신규추천성적우수장학생만 해당직전학기의 학업성적이 37545 이상인 가정형편이 어려운 학생본 재단의 장학금과 동일한 지급시기에 타기관의 장학금 수혜 대상자로 선정되지 않은 학생이어야 함단 국가장학금과 교내성적장학금 일부 수혜시 등록금을 초과하지 않는 범위에서 지원함 부모 직장에서 대학자녀 학자금이 나오는 학생은 선발에서 제외함성적우수 장학생 중 결격사유가 발생한 경우에는 동일 계열 동일 학년에서 보궐 추천해야 함재단에서 나래장학생시설출신 다문화조손가정학생으로 선발하여 별도 통보한 학생은 우선 추천함별도 온라인 신청 및 구비서류 필요 없음 등록금 전액 금액미정
삼성 인공와우 지원사업,"만 18세 미만의 저소득 청각 장애인 중 본원에서 인공와우 수술을 받는 자 (당해년도 가구ㆍ지역별 일반재산의 최고재산액 기준 250% 이내 및 최저생계비 고시안 기준 250% 이내인 자. 단, 두 기준의 합이 400% 이내여야 함)※ 단, 18세 이상의 경우에도 인공와우 적응증에 해당하고 심의 기준에 적합할 경우 논의를 거친 후 대상자에 포함시킬 수 있음","1) 수술 전 검사비 및 양측 인공와우 수술비2) 재활비 (맵핑 및 언어 재활·평가비 / 개인별 연간 350만원, 최대 4년간 지원)","이비인후과 인공와우지원실 방문하여 신청서 및 동의서 작성 한 후, 대상자 각자에게 맞는 구비 서류 제출",2099-12-31,민간복지(CSV),내용 없음,삼성 인공와우 지원사업 만 18세 미만의 저소득 청각 장애인 중 본원에서 인공와우 수술을 받는 자 당해년도 가구지역별 일반재산의 최고재산액 기준 250 이내 및 최저생계비 고시안 기준 250 이내인 자 단 두 기준의 합이 400 이내여야 함 단 18세 이상의 경우에도 인공와우 적응증에 해당하고 심의 기준에 적합할 경우 논의를 거친 후 대상자에 포함시킬 수 있음 1 수술 전 검사비 및 양측 인공와우 수술비2 재활비 맵핑 및 언어 재활평가비 개인별 연간 350만원 최대 4년간 지원
의료복지사업," 진료비지원ㆍ경제적 어려움이 있는 국민기초생활보장 수급자 및 이에 준하는 자로서 수술 등을 통하여 완치 가능성이 높은 환자ㆍ해외교포 및 외국인 근로자 중 일차적 진단을 받고 수술 등 원내진료가 필요하여 관련 보호 단체에서 의뢰한 환자- SOS의료비 지원 ㆍ수술 등 긴급한 치료가 필요한 저소득층 환자 - 순회무료진료 ㆍ저소득층 밀집지역, 의료취약지역, 재난 재해지역, 사회복지시설- 무료방문간호ㆍ경제적 어려움이 있는 국민기초생활보장 수급권자 및 이에 준하는 분ㆍ거동이 불편하여 통원치료가 어려운 노인, 장애인, 퇴원환자 등- 지역사회봉사ㆍ독거노인, 장애인, 소년소녀가장, 거동불능자, 복지시설생활자 등"," 진료비지원ㆍ외래입원 진료비(검사비 포함)의 전액 또는 일부 (진료비 및 재산 정도를 심사한 후 차등 지원함) ㆍSOS의료비 1인당 1천만원 이내 - 순회무료진료ㆍ진찰, 검사, 투약 등의 진료행위를 실시 - 무료방문간호ㆍ기초건강진단(혈압, 혈당, 요당 등) * 치료적 간호(상처 욕창치료 등)ㆍ투약 및 주사ㆍ교육 및 상담(식이 운동요법, 장비 사용법 등) - 지역사회봉사ㆍ기술지원: 집수리 지원(전기시설 보수, 도배, 장판 교체) 등ㆍ인력지원: 가사지원, 활동지원, 정서지원, 복지시설 방문 등ㆍ현물지원: 연탄 및 기름, 김장, 쌀, 내의 등 생활필수품 지원ㆍ기 타: 간병인 교육, 지역사회 행사 지원 등", 방문 접수 : 서울ㆍ강릉ㆍ정읍ㆍ보령ㆍ홍천ㆍ보성ㆍ금강ㆍ영덕 아산병원,2099-12-31,민간복지(CSV),내용 없음,의료복지사업 진료비지원경제적 어려움이 있는 국민기초생활보장 수급자 및 이에 준하는 자로서 수술 등을 통하여 완치 가능성이 높은 환자해외교포 및 외국인 근로자 중 일차적 진단을 받고 수술 등 원내진료가 필요하여 관련 보호 단체에서 의뢰한 환자 의료비 지원 수술 등 긴급한 치료가 필요한 저소득층 환자 순회무료진료 저소득층 밀집지역 의료취약지역 재난 재해지역 사회복지시설 무료방문간호경제적 어려움이 있는 국민기초생활보장 수급권자 및 이에 준하는 분거동이 불편하여 통원치료가 어려운 노인 장애인 퇴원환자 등 지역사회봉사독거노인 장애인 소년소녀가장 거동불능자 복지시설생활자 등 진료비지원외래입원 진료비검사비 포함의 전액 또는 일부 진료비 및 재산 정도를 심사한 후 차등 지원함 의료비 1인당 1천만원 이내 순회무료진료진찰 검사 투약 등의 진료행위를 실시 무료방문간호기초건강진단혈압 혈당 요당 등 치료적 간호상처 욕창치료 등투약 및 주사교육 및 상담식이 운동요법 장비 사용법 등 지역사회봉사기술지원 집수리 지원전기시설 보수 도배 장판 교체 등인력지원 가사지원 활동지원 정서지원 복지시설 방문 등현물지원 연탄 및 기름 김장 쌀 내의 등 생활필수품 지원기 타 간병인 교육 지역사회 행사 지원 등
서울희망장학금," 대학분야ㆍ대한민국 국적자로서 서울지역 대학 신입생 및 재학생(신청인의 거주지역 제한 없음)ㆍ고등교육법 제2조의 대학, 전문대학, 교육대학, 산업대학, 각종학교ㆍ기초생활수급권자 및 차상위 계층ㆍ정규학기 초과자 및 직전학기 성적 학사경고 대상자 제외 - 고등학교분야ㆍ초ㆍ중등교육법 제2조의 고등학교에 재학하는 학생 및 평생교육법 제31조의 고등학교 학력이 인정되는 평생교육시설에 다니는 학생ㆍ중위소득 80%이하 고등학생 - 공익인재분야ㆍ대한민국 국적자로서 서울지역 대학 재학생(신입생 제외, 신청인의 거주지역 제한 없음)ㆍ고등교육법 제2조의 대학, 전문대학, 교육대학, 산업대학, 각종학교ㆍ사회공익분야에서 리더십을 발휘하여 활동한 경험이 있고, 지속적인 사회적 공익가치 확산에 기여하고자 하는 학생ㆍ정규학기 초과자 및 직전학기 성적 학사경고 대상자 제외"," 대학분야: 100만원 정액 지급 - 고등학교분야: 수업료, 학교운영비 - 공익인재분야: 600만원(등록금 범위 내 차등지원)"," 인터넷 접수: http://hissf.or.kr - 우편 접수(1차합격자 증빙서류 제출): 서울특별시 종로구 율곡로 84,304호(운니동,가든타워) 서울장학재단 담당자 앞ㆍ담당자안내 대학분야: 이수현 070-8667-3505 초중고분야: 김덕영 070-8667-3280",2099-12-31,민간복지(CSV),내용 없음,서울희망장학금 대학분야대한민국 국적자로서 서울지역 대학 신입생 및 재학생신청인의 거주지역 제한 없음고등교육법 제2조의 대학 전문대학 교육대학 산업대학 각종학교기초생활수급권자 및 차상위 계층정규학기 초과자 및 직전학기 성적 학사경고 대상자 제외 고등학교분야초중등교육법 제2조의 고등학교에 재학하는 학생 및 평생교육법 제31조의 고등학교 학력이 인정되는 평생교육시설에 다니는 학생중위소득 80이하 고등학생 공익인재분야대한민국 국적자로서 서울지역 대학 재학생신입생 제외 신청인의 거주지역 제한 없음고등교육법 제2조의 대학 전문대학 교육대학 산업대학 각종학교사회공익분야에서 리더십을 발휘하여 활동한 경험이 있고 지속적인 사회적 공익가치 확산에 기여하고자 하는 학생정규학기 초과자 및 직전학기 성적 학사경고 대상자 제외 대학분야 100만원 정액 지급 고등학교분야 수업료 학교운영비 공익인재분야 600만원등록금 범위 내 차등지원
다문화가족음악방송, 다문화 가족," 방송언어: 중국어, 베트남어, 필리핀어(영어), 태국어, 아랍어, 러시아어, 몽골어, 일본어 - 방송시간: 1일 24시간 방송(방송언어별 1회 90분의 본방송과 3회 재방송)", 인터넷(www.wjf.kr),2099-12-31,민간복지(CSV),내용 없음,다문화가족음악방송 다문화 가족 방송언어 중국어 베트남어 필리핀어영어 태국어 아랍어 러시아어 몽골어 일본어 방송시간 1일 24시간 방송방송언어별 1회 90분의 본방송과 3회 재방송
장학사업," 기초생활수급자 및 차상위, 기타 저소득 가정(한부모가정, 장애우가정 등)의 학생(고등학생, 대학생, 대학원생 (입학예정 포함))- 국가기관이나 지방자치단체, 학교, 기타 장학관련 단체로부터 명시적인 장학금으로 수업료 또는 등록금을 전액 면제지원 받고 있지 않는 학생", 장학금 지원(학업보조금) - 금액미정, 인터넷 접수: http://shscholar.com/,2099-12-31,민간복지(CSV),내용 없음,장학사업 기초생활수급자 및 차상위 기타 저소득 가정한부모가정 장애우가정 등의 학생고등학생 대학생 대학원생 입학예정 포함 국가기관이나 지방자치단체 학교 기타 장학관련 단체로부터 명시적인 장학금으로 수업료 또는 등록금을 전액 면제지원 받고 있지 않는 학생 장학금 지원학업보조금 금액미정
365베이비케어키트," 유아를 양육중인 미혼 한부모가정 중 경제적 어려움을 겪고 있거나, 미혼모자시설 퇴소 및 입양숙려제기간 동안 아동양육물품이 필요한 가정"," 아동양육물품 KIT(분유, 기저귀, 물티슈 등)- 최대 6회까지 지원가능  ㆍKIT A: ~18개월 미만, KIT B: 18~36개월 미만"," 홈페이지 www.holt.or.kr 공지사항에서 ""신청하기"" 버튼 클릭 *접수일정 : 4월~12월",2099-12-31,민간복지(CSV),내용 없음,365베이비케어키트 유아를 양육중인 미혼 한부모가정 중 경제적 어려움을 겪고 있거나 미혼모자시설 퇴소 및 입양숙려제기간 동안 아동양육물품이 필요한 가정 아동양육물품 분유 기저귀 물티슈 등 최대 6회까지 지원가능 18개월 미만 1836개월 미만
빈곤아동 심리정서치유사업, 빈곤환경에서 심리정서적 어려움을 겪고 있는 초등학교 1~6학년 아동," 미술, 음악, 놀이, 언어 등 전문적인 심리치료가 필요한 아동을 위한 프로그램 비용 나눔(지원금 상한액 204만원)"," 신청기간 : 2월, 7월- '홈페이지 > 나눔,신청하세요' 신청",2099-12-31,민간복지(CSV),내용 없음,빈곤아동 심리정서치유사업 빈곤환경에서 심리정서적 어려움을 겪고 있는 초등학교 16학년 아동 미술 음악 놀이 언어 등 전문적인 심리치료가 필요한 아동을 위한 프로그램 비용 나눔지원금 상한액 204만원
희망마차 달리기 사업," 농어촌 아동, 노인, 다문화, 북한이탈주민 등 4대 취약계층", 1가구당 3만원 상당의 물품 및 맞춤형 서비스 지원, 전화문의: 02-509-2999,2099-12-31,민간복지(CSV),내용 없음,희망마차 달리기 사업 농어촌 아동 노인 다문화 북한이탈주민 등 4대 취약계층 1가구당 3만원 상당의 물품 및 맞춤형 서비스 지원
롯데리아와 함께하는 Mom 행복한 생일파티, 출산 1년 이내의 미혼한부모 자녀," 미혼한부모 자녀 대상 돌잔치(친인척 최대 25명 초대, 식사, 답례품, 사진촬영 및 앨범 제공)"," 신청방법 : 인터넷(www.holt.or.kr), 지역(서울, 대전, 대구, 울산, 청주, 전주, 부산)- 신청기간 : 연중",2099-12-31,민간복지(CSV),내용 없음,롯데리아와 함께하는 행복한 생일파티 출산 1년 이내의 미혼한부모 자녀 미혼한부모 자녀 대상 돌잔치친인척 최대 25명 초대 식사 답례품 사진촬영 및 앨범 제공
벽산장학생, 대학생," 등록금 2,500,000원(학기당)지원"," 우편접수: 서울시 중구 광희동 1가 216번지 광희빌딩 14층 (주)벽산 벽산장학문화재단 사무국 박소담 귀중 - 접수기간: 매년 1, 7월",2099-12-31,민간복지(CSV),내용 없음,벽산장학생 대학생 등록금 2500000원학기당지원
두을장학," 1학기 총 15학점을 이수하고, 성적이 3.5이상(4.5만점)인 1학년 여학생 (단, 4.3만점인 학교는 3.34이상 / 계절학기 성적은 포함되지 않음) - 대상학교: 서울대, 연세대, 고려대, 서강대, 성균관대, 한양대, 이화여대, 숙명여대, 부산대, 경북대, 전남대, 전북대, 충남대, 충북대, 강원대, 제주대 (총 16개교)", 2학년 ~ 졸업시까지 등록금 전액 (학점 및 활동평가) - 매학기 자기계발비 지원 - 상하반기 워크숍 실시 - 금액미정, 인터넷 접수 : www.dooeul.or.kr,2099-12-31,민간복지(CSV),내용 없음,두을장학 1학기 총 15학점을 이수하고 성적이 35이상45만점인 1학년 여학생 단 43만점인 학교는 334이상 계절학기 성적은 포함되지 않음 대상학교 서울대 연세대 고려대 서강대 성균관대 한양대 이화여대 숙명여대 부산대 경북대 전남대 전북대 충남대 충북대 강원대 제주대 총 16개교 2학년 졸업시까지 등록금 전액 학점 및 활동평가 매학기 자기계발비 지원 상하반기 워크숍 실시 금액미정
